year	month	vertices\edges	minsupp	maxsupp	minconf	maxconf
1999	01	876	206	0.000001	0.000005	0.250000	1.000000
1999	02	876	499	0.000001	0.000007	0.142857	1.000000
1999	03	876	750	0.000001	0.000007	0.111111	1.000000
1999	04	876	961	0.000001	0.000014	0.088235	1.000000
1999	05	876	1243	0.000001	0.000018	0.066667	1.000000
1999	06	876	1461	0.000001	0.000017	0.046875	1.000000
1999	07	876	1650	0.000001	0.000026	0.053333	1.000000
1999	08	876	1786	0.000001	0.000030	0.032609	1.000000
1999	09	876	1968	0.000001	0.000040	0.042857	1.000000
1999	10	876	2197	0.000001	0.000029	0.031579	1.000000
1999	11	876	2417	0.000001	0.000028	0.031915	1.000000
1999	12	876	2546	0.000001	0.000036	0.037975	1.000000
1999	99	876	6897	0.000001	0.000201	0.005952	1.000000
2000	01	876	2468	0.000001	0.000037	0.028571	1.000000
2000	02	876	2245	0.000001	0.000035	0.029412	1.000000
2000	03	876	2136	0.000001	0.000029	0.031579	1.000000
2000	04	876	2178	0.000001	0.000027	0.036585	1.000000
2000	05	876	2252	0.000001	0.000026	0.046154	1.000000
2000	06	876	2214	0.000001	0.000022	0.043478	1.000000
2000	07	876	2310	0.000001	0.000021	0.030928	1.000000
2000	08	876	2240	0.000001	0.000027	0.032258	1.000000
2000	09	876	2342	0.000001	0.000019	0.028846	1.000000
2000	10	876	2513	0.000001	0.000019	0.040541	1.000000
2000	11	876	2430	0.000001	0.000019	0.040000	1.000000
2000	12	876	2486	0.000001	0.000037	0.038961	1.000000
2000	99	876	8039	0.000001	0.000290	0.004451	1.000000
2001	01	876	2460	0.000001	0.000035	0.044118	1.000000
2001	02	876	2159	0.000001	0.000040	0.037975	1.000000
2001	03	876	2228	0.000001	0.000035	0.040404	1.000000
2001	04	876	2164	0.000001	0.000028	0.046875	1.000000
2001	05	876	2169	0.000001	0.000030	0.033708	1.000000
2001	06	876	2238	0.000001	0.000020	0.049180	1.000000
2001	07	876	2231	0.000001	0.000026	0.046875	1.000000
2001	08	876	2293	0.000001	0.000046	0.021583	1.000000
2001	09	876	2263	0.000001	0.000026	0.033333	1.000000
2001	10	876	2415	0.000001	0.000021	0.037037	1.000000
2001	11	876	2487	0.000001	0.000020	0.031579	1.000000
2001	12	876	2526	0.000001	0.000025	0.035294	1.000000
2001	99	876	8235	0.000001	0.000314	0.005051	1.000000
2002	01	876	2414	0.000001	0.000034	0.035294	1.000000
2002	02	876	2214	0.000001	0.000027	0.042857	1.000000
2002	03	876	2246	0.000001	0.000034	0.028302	1.000000
2002	04	876	2189	0.000001	0.000026	0.032258	1.000000
2002	05	876	2281	0.000001	0.000025	0.039474	1.000000
2002	06	876	2226	0.000001	0.000018	0.044118	1.000000
2002	07	876	2238	0.000001	0.000020	0.041667	1.000000
2002	08	876	2328	0.000001	0.000032	0.027273	1.000000
2002	09	876	2347	0.000001	0.000026	0.024194	1.000000
2002	10	876	2433	0.000001	0.000022	0.037975	1.000000
2002	11	876	2538	0.000001	0.000029	0.039474	1.000000
2002	12	876	2545	0.000001	0.000043	0.036145	1.000000
2002	99	876	8059	0.000001	0.000294	0.004983	1.000000
2003	01	876	2430	0.000001	0.000048	0.021429	1.000000
2003	02	876	2146	0.000001	0.000038	0.034483	1.000000
2003	03	876	2059	0.000001	0.000016	0.041096	1.000000
2003	04	876	2061	0.000001	0.000026	0.042857	1.000000
2003	05	876	2139	0.000001	0.000015	0.053571	1.000000
2003	06	876	2152	0.000001	0.000016	0.047619	1.000000
2003	07	876	2239	0.000001	0.000020	0.036585	1.000000
2003	08	876	2198	0.000001	0.000028	0.036145	1.000000
2003	09	876	2291	0.000001	0.000021	0.039474	1.000000
2003	10	876	2428	0.000001	0.000023	0.029412	1.000000
2003	11	876	2475	0.000001	0.000023	0.042254	1.000000
2003	12	876	2541	0.000001	0.000025	0.036585	1.000000
2003	99	876	8005	0.000001	0.000268	0.004813	1.000000
2004	01	876	2468	0.000001	0.000031	0.034091	1.000000
2004	02	876	2065	0.000001	0.000026	0.051948	1.000000
2004	03	876	2002	0.000001	0.000030	0.044776	1.000000
2004	04	876	2063	0.000001	0.000024	0.038961	1.000000
2004	05	876	2129	0.000001	0.000022	0.041096	1.000000
2004	06	876	2199	0.000001	0.000020	0.047619	1.000000
2004	07	876	2317	0.000001	0.000022	0.037500	1.000000
2004	08	876	2293	0.000001	0.000025	0.030000	1.000000
2004	09	876	2390	0.000001	0.000023	0.039474	1.000000
2004	10	876	2553	0.000001	0.000024	0.036585	1.000000
2004	11	876	2581	0.000001	0.000027	0.032609	1.000000
2004	12	876	2601	0.000001	0.000022	0.036585	1.000000
2004	99	876	8464	0.000001	0.000257	0.005576	1.000000
2005	01	876	2421	0.000001	0.000038	0.036036	1.000000
2005	02	876	2042	0.000001	0.000028	0.037500	1.000000
2005	03	876	2066	0.000001	0.000020	0.043478	1.000000
2005	04	876	2087	0.000001	0.000023	0.047619	1.000000
2005	05	876	2136	0.000001	0.000022	0.050000	1.000000
2005	06	876	2132	0.000001	0.000023	0.050000	1.000000
2005	07	876	2171	0.000001	0.000026	0.042254	1.000000
2005	08	876	2287	0.000001	0.000030	0.039474	1.000000
2005	09	876	2261	0.000001	0.000026	0.039474	1.000000
2005	10	876	2374	0.000001	0.000021	0.035714	1.000000
2005	11	876	2312	0.000001	0.000022	0.030928	1.000000
2005	12	876	2466	0.000001	0.000023	0.037500	1.000000
2005	99	876	8327	0.000001	0.000259	0.005199	1.000000
2006	01	876	2356	0.000001	0.000036	0.036145	1.000000
2006	02	876	2028	0.000001	0.000028	0.045455	1.000000
2006	03	876	1957	0.000001	0.000021	0.057692	1.000000
2006	04	876	1823	0.000001	0.000030	0.054545	1.000000
2006	05	876	1968	0.000001	0.000024	0.052632	1.000000
2006	06	876	1994	0.000001	0.000024	0.032967	1.000000
2006	07	876	2081	0.000001	0.000025	0.036585	1.000000
2006	08	876	2130	0.000001	0.000028	0.034483	1.000000
2006	09	876	2229	0.000001	0.000026	0.026786	1.000000
2006	10	876	2297	0.000001	0.000026	0.025862	1.000000
2006	11	876	2284	0.000001	0.000030	0.030928	1.000000
2006	12	876	2460	0.000001	0.000033	0.034188	1.000000
2006	99	876	8140	0.000001	0.000279	0.004386	0.972222
2007	01	876	2363	0.000001	0.000026	0.036145	1.000000
2007	02	876	2091	0.000001	0.000031	0.043478	1.000000
2007	03	876	2116	0.000001	0.000034	0.028846	1.000000
2007	04	876	2053	0.000001	0.000040	0.024793	1.000000
2007	05	876	2209	0.000001	0.000016	0.049180	1.000000
2007	06	876	2096	0.000001	0.000019	0.046875	1.000000
2007	07	876	2205	0.000001	0.000027	0.034483	1.000000
2007	08	876	2220	0.000001	0.000028	0.030928	1.000000
2007	09	876	2228	0.000001	0.000020	0.043478	1.000000
2007	10	876	2462	0.000001	0.000020	0.036145	1.000000
2007	11	876	2512	0.000001	0.000017	0.041096	1.000000
2007	12	876	2502	0.000001	0.000024	0.032609	1.000000
2007	99	876	8401	0.000001	0.000269	0.004614	1.000000
2008	01	876	2413	0.000001	0.000028	0.037975	1.000000
2008	02	876	1974	0.000001	0.000027	0.042857	1.000000
2008	03	876	1984	0.000001	0.000031	0.035714	1.000000
2008	04	876	1844	0.000001	0.000020	0.046154	1.000000
2008	05	876	2061	0.000001	0.000012	0.050000	1.000000
2008	06	876	2031	0.000001	0.000019	0.039474	1.000000
2008	07	876	2154	0.000001	0.000016	0.045455	1.000000
2008	08	876	2244	0.000001	0.000025	0.040000	1.000000
2008	09	876	2250	0.000001	0.000022	0.036585	1.000000
2008	10	876	2395	0.000001	0.000020	0.031579	1.000000
2008	11	876	2414	0.000001	0.000029	0.026087	1.000000
2008	12	876	2532	0.000001	0.000033	0.038462	1.000000
2008	99	876	8215	0.000001	0.000252	0.003922	1.000000
2009	01	876	2436	0.000001	0.000039	0.035714	1.000000
2009	02	876	1972	0.000001	0.000022	0.053571	1.000000
2009	03	876	2032	0.000001	0.000030	0.050000	1.000000
2009	04	876	1940	0.000001	0.000016	0.047619	1.000000
2009	05	876	2077	0.000001	0.000014	0.050000	1.000000
2009	06	876	2081	0.000001	0.000014	0.050000	1.000000
2009	07	876	2208	0.000001	0.000028	0.031579	1.000000
2009	08	876	2211	0.000001	0.000030	0.032609	1.000000
2009	09	876	2282	0.000001	0.000021	0.035294	1.000000
2009	10	876	2461	0.000001	0.000017	0.042254	1.000000
2009	11	876	2424	0.000001	0.000015	0.049180	1.000000
2009	12	876	2553	0.000001	0.000024	0.038462	1.000000
2009	99	876	8306	0.000001	0.000195	0.004754	1.000000
2010	01	876	2274	0.000001	0.000028	0.048387	1.000000
2010	02	876	1952	0.000001	0.000024	0.037500	1.000000
2010	03	876	2041	0.000001	0.000028	0.033333	1.000000
2010	04	876	2005	0.000001	0.000020	0.048387	1.000000
2010	05	876	2136	0.000001	0.000019	0.047619	1.000000
2010	06	876	2211	0.000001	0.000015	0.050847	1.000000
2010	07	876	2254	0.000001	0.000025	0.041096	1.000000
2010	08	876	2290	0.000001	0.000024	0.038462	1.000000
2010	09	876	2280	0.000001	0.000016	0.037975	1.000000
2010	10	876	2455	0.000001	0.000015	0.034483	1.000000
2010	11	876	2394	0.000001	0.000026	0.030303	1.000000
2010	12	876	2520	0.000001	0.000030	0.037037	1.000000
2010	99	876	8309	0.000001	0.000222	0.004342	1.000000
2011	01	876	2345	0.000001	0.000030	0.031915	1.000000
2011	02	876	1933	0.000001	0.000025	0.051724	1.000000
2011	03	876	1688	0.000001	0.000024	0.039474	1.000000
2011	04	876	1336	0.000001	0.000012	0.062500	1.000000
2011	05	876	1186	0.000001	0.000010	0.075000	1.000000
2011	06	876	940	0.000001	0.000009	0.090909	1.000000
2011	07	876	819	0.000001	0.000009	0.103448	1.000000
2011	08	876	663	0.000001	0.000009	0.093750	1.000000
2011	09	876	420	0.000001	0.000006	0.125000	1.000000
2011	10	876	284	0.000001	0.000005	0.103448	1.000000
2011	11	876	155	0.000001	0.000004	0.214286	1.000000
2011	12	876	52	0.000001	0.000003	0.222222	1.000000
2011	99	876	5919	0.000001	0.000098	0.011628	1.000000
9999	01	876	8394	0.000001	0.000415	0.004587	1.000000
9999	02	876	7977	0.000001	0.000358	0.003791	1.000000
9999	03	876	8179	0.000001	0.000338	0.005703	1.000000
9999	04	876	8076	0.000001	0.000294	0.005988	1.000000
9999	05	876	8247	0.000001	0.000234	0.005515	1.000000
