year	month	area_this_epoch	area_next_epoch
d	d	d	d
			c
1999	1	ALB	ALB
1999	3	SWE	SWE
1999	5	SWE	SWE
1999	7	SWE	SWE
1999	8	SWE	SWE
1999	10	NWE	SWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	ALB	ALB
1999	3	ALB	ALB
1999	5	SWE	SWE
1999	7	NWE	NWE
1999	1	ALB	ALB
1999	3	SWE	SWE
1999	5	SWE	SWE
1999	7	NWE	NWE
1999	8	SWE	NWE
1999	10	SWE	CEN
1999	1	ALB	ALB
1999	3	SWE	SWE
1999	5	SWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	SWE	TYR
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	8	NWE	NWE
1999	1	ALB	ALB
1999	5	ALB	ALB
1999	7	SWE	NWE
1999	8	SWE	NWE
1999	10	SWE	TYR
1999	1	ALB	SWE
1999	3	ALB	SWE
1999	7	SWE	NWE
1999	8	SWE	SWE
1999	10	SWE	CEN
1999	1	ALB	ALB
1999	5	SWE	TYR
1999	1	ALB	SWE
1999	3	SWE	SWE
1999	7	SWE	SWE
1999	8	SWE	SWE
1999	1	SWE	NWE
1999	3	NWE	NWE
1999	5	SWE	SWE
1999	7	SWE	NWE
1999	8	SWE	SWE
1999	10	NWE	SWE
1999	1	SWE	NWE
1999	3	SWE	SWE
1999	8	NWE	SWE
1999	10	SWE	SWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	SWE	SWE
1999	3	SWE	SWE
1999	1	SWE	NWE
1999	3	SWE	SWE
1999	1	NWE	SWE
1999	3	SWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	SWE
1999	1	SWE	SWE
1999	1	SWE	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	SWE
1999	3	SWE	NWE
1999	5	SWE	SWE
1999	10	SWE	SWE
1999	1	NWE	NWE
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	SLE	SLE
1999	1	NWE	NWE
1999	3	SWE	NWE
1999	5	SWE	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	5	SWE	SWE
1999	1	SWE	SWE
1999	3	NWE	SWE
1999	5	SWE	NWE
1999	7	SWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	SWE	SWE
1999	3	TYR	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	SLE
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	1	NWE	NWE
1999	3	NWE	SWE
1999	1	NWE	NWE
1999	3	SWE	SWE
1999	1	SWE	SWE
1999	1	SWE	SWE
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	1	NWE	SWE
1999	1	NWE	NWE
1999	5	SWE	TYR
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	7	CEN	CEN
1999	8	ION	ION
1999	10	ION	ION
1999	1	NWE	NWE
1999	1	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	SWE	SWE
1999	3	SWE	SWE
1999	5	SWE	NWE
1999	10	SWE	SWE
1999	1	SWE	SWE
1999	7	CEN	ION
1999	1	SWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	NWE	NWE
1999	1	NWE	NWE
1999	1	SWE	SWE
1999	3	TYR	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	1	SWE	SWE
1999	3	SWE	TYR
1999	1	SWE	SWE
1999	3	SWE	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	1	NWE	SWE
1999	3	NWE	NWE
1999	1	NWE	NWE
1999	1	NWE	NWE
1999	1	SWE	SWE
1999	3	TYR	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	5	CEN	CEN
1999	1	SWE	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	SWE	TYR
1999	10	TYR	TYR
1999	1	SWE	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	3	NWE	NWE
1999	1	NWE	NWE
1999	5	NWE	NWE
1999	1	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	SWE	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	3	SWE	SWE
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	1	SWE	TYR
1999	1	SWE	SWE
1999	1	NWE	NWE
1999	1	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	SWE	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	3	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	1	SWE	TYR
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	1	NWE	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	TYR	TYR
1999	1	TYR	SWE
1999	3	CEN	CEN
1999	1	TYR	TYR
1999	3	TYR	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	1	TYR	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	SWE
1999	8	NWE	NWE
1999	1	TYR	NWE
1999	3	NWE	NWE
1999	1	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	1	TYR	CEN
1999	3	CEN	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	1	TYR	TYR
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	NWE
1999	8	NWE	NWE
1999	10	NWE	SWE
1999	1	TYR	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	TYR	TYR
1999	5	NWE	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	CEN	CEN
1999	1	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	5	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	5	CEN	CEN
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	SWE
1999	10	CEN	CEN
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	SWE
1999	10	TYR	TYR
1999	1	TYR	SWE
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	NWE	NWE
1999	1	TYR	NWE
1999	3	NWE	NWE
1999	5	NWE	NWE
1999	7	SWE	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	3	NWE	NWE
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	8	CEN	ION
1999	10	ION	ION
1999	3	CEN	SLE
1999	5	SLE	SLE
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	10	CEN	CEN
1999	5	CEN	CEN
1999	7	CEN	CEN
1999	8	CEN	CEN
1999	10	CEN	CEN
1999	1	CEN	CEN
1999	3	CEN	CEN
1999	5	CEN	CEN
1999	7	CEN	ION
1999	3	CEN	CEN
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	TYR
1999	7	TYR	TYR
1999	8	TYR	TYR
1999	10	TYR	TYR
1999	3	TYR	TYR
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	NWE
1999	7	NWE	NWE
1999	8	NWE	NWE
1999	10	TYR	TYR
1999	1	TYR	TYR
1999	3	TYR	TYR
1999	5	TYR	NWE
1999	7	NWE	NWE
1999	10	CEN	CEN
