supp	conf	cove	year	month	area_this_epoch	lonm_this_epoch	latm_this_epoch	area_next_epoch	lonm_next_epoch	latm_next_epoch
0.000103	1.000000	0.000103	1999	1	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000082	0.923077	0.000089	1999	1	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000007	0.076923	0.000089	1999	1	AEG	25.031300	37.882500	ION	25.031300	37.882500
0.000041	0.750000	0.000055	1999	1	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000014	0.250000	0.000055	1999	1	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.000287	0.792453	0.000363	1999	1	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000021	0.056604	0.000363	1999	1	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000055	0.150943	0.000363	1999	1	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000027	0.200000	0.000137	1999	1	ION	-2.555600	36.178800	CEN	28.656000	33.044300
0.000109	0.800000	0.000137	1999	1	ION	-2.555600	36.178800	ION	28.656000	33.044300
0.000096	0.823529	0.000116	1999	1	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000021	0.176471	0.000116	1999	1	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000185	0.900000	0.000205	1999	1	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000021	0.100000	0.000205	1999	1	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000014	0.057143	0.000239	1999	1	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000007	0.028571	0.000239	1999	1	SLE	28.656000	33.044300	ION	4.799800	38.025700
0.000062	0.257143	0.000239	1999	1	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000157	0.657143	0.000239	1999	1	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000034	0.208333	0.000164	1999	1	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000089	0.541667	0.000164	1999	1	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000041	0.250000	0.000164	1999	1	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000007	0.041667	0.000164	1999	1	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000027	0.166667	0.000164	1999	1	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000014	0.083333	0.000164	1999	1	TYR	4.799800	38.025700	SWE	4.799800	38.025700
0.000116	0.708333	0.000164	1999	1	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000390	0.950000	0.000410	1999	10	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000007	0.016667	0.000410	1999	10	ADR	15.921000	42.786200	CEN	15.921000	42.786200
0.000014	0.033333	0.000410	1999	10	ADR	15.921000	42.786200	ION	15.921000	42.786200
0.000315	1.000000	0.000315	1999	10	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000062	0.642857	0.000096	1999	10	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000014	0.142857	0.000096	1999	10	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000021	0.214286	0.000096	1999	10	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.001751	0.901408	0.001943	1999	10	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000041	0.021127	0.001943	1999	10	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000150	0.077465	0.001943	1999	10	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000041	0.056604	0.000725	1999	10	ION	-2.555600	36.178800	ADR	15.921000	42.786200
0.000027	0.037736	0.000725	1999	10	ION	-2.555600	36.178800	AEG	25.031300	37.882500
0.000198	0.273585	0.000725	1999	10	ION	-2.555600	36.178800	CEN	25.031300	37.882500
